ShowtimeID,MovieID,RoomNumber,TimeDate
1001,44,1,"2023-12-01 18:00:00"
1002,2,2,"2023-12-01 18:30:00"
1003,3,3,"2023-12-01 17:00:00"
1004,4,4,"2023-12-01 16:00:00"
1005,44,5,"2023-12-01 16:00:00"
1006,45,6,"2023-12-02 16:00:00"
1007,46,7,"2023-12-01 16:00:00"
1008,47,8,"2023-12-03 16:00:00"
1009,44,9,"2023-12-04 15:00:00"
1010,48,10,"2023-12-04 19:00:00"
1011,49,11,"2023-12-07 16:00:00"
1012,50,12,"2023-12-24 12:00:00"
1013,51,13,"2024-01-04 13:00:00"
1014,52,14,"2024-01-04 14:00:00"
1015,48,15,"2023-12-01 16:00:00"
